Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Misiones,Full-Time,Staff (planta permanente),830000,700000,,,No,No recibo bono,Dos,30,Abril,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",Technical Leader,15,3,1,2,"Arduino o similar, Docker, Linux","CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, CodeIgniter, HTMX, jQuery, Laravel, Next.js, Node.js, React.js","MariaDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,,No,8,1,Terciario,Incompleto,Analista de Sistemas,,No,0,Porcentaje de mi sueldo bruto,38,Masculino
Santa Fe,Full-Time,Staff (planta permanente),1200000,996000,,,Menos de un sueldo,Performance individual,Dos,65,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Guardería o pago para cubrir costo de guardería",2,"No, pero escucho ofertas.",Developer,3,1,1,0,Azure,".NET, C#, CSS, HTML, SQL, TypeScript",".NET Core, Angular, Node.js",Microsoft SQL Server,Xunit,De 101 a 200 personas,100% remoto,0,Pasar de revisiones trimestrales a bimestrales,No,7,0,Doctorado,Incompleto,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,0,Neto,35,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1050000,850343,,,Menos de un sueldo,día de la sanidad,Tres,30,Abril,2,"Abono de Internet, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles",2,"No, pero escucho ofertas.",Developer,1.5,3.5,1.5,0,Ninguna de las anteriores,"CSS, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Node.js, React.js",Oracle,Postman,De 1001 a 2000 personas,Híbrido (presencial y remoto),1,,No,8,2,,,,,,,,23,Masculino
Chaco,Full-Time,Staff (planta permanente),720000,540000,,,Un sueldo,aguinaldo,Dos,21,Abril,2,"Guardería o pago para cubrir costo de guardería, Viáticos",1,"No, pero escucho ofertas.",Developer,2,6,2,0,"Amazon Web Services, Azure, Windows Server",".NET, C#, CSS, HTML, Java, Javascript, SQL, TypeScript",".NET Core, Bootstrap, WordPress","Microsoft SQL Server, SQLite","Postman, Selenium, Visual Studio Coded UI",De 1001 a 2000 personas,100% presencial,0,"Sindicatos llenos de telarañas de 5 años cayados, ahora no tienen poder para pedir nada coherente.",Sí,2,4,,,,,,,,31,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2300000,2000000,,,No,No recibo bono,Dos,55,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Pago por uso de equipo propio",3,"No, estoy muy conforme.",Technical Leader,15,10,5,5,"Docker, Linux, Windows Server",".NET, C#, TypeScript",".NET Core, Angular, Cordova","MariaDB, Microsoft SQL Server, MySQL, SQLite",Postman,De 11  a 50  personas,100% remoto,0,Los úlitmos años venimos con ajustes trimestrales. El primer trimestre se fue adelantando en febrero y marzo parte del ajuste trimestral que cerro con el pago de abril. Ahora en principio volvemos a ajustes trimestrales.,No,10,4,Posgrado/Especialización,Completo,Ingeniería en Sistemas de Información,UNR - Universidad Nacional de Rosario,,,,43,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),500000,470000,,,No,No recibo bono,Dos,40,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",4,"No, estoy muy conforme.",Developer,0,0,0,0,Genexus,".NET, C#, Java",".NET Core, Angular, Spring","Microsoft SQL Server, MySQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,No,No sé,10,3,,,,,,,,25,Masculino
Mendoza,Full-Time,Contractor,2100000,2000000,Cobro todo el salario en dólares,1063,No,No recibo bono,Uno,35,Febrero,3,Horarios flexibles,3,"No, pero escucho ofertas.",Developer,16,0,10,0,"Firebase, Linux","Java, Kotlin",Android,"MongoDB, SQLite",Postman,De 101 a 200 personas,100% remoto,0,Si pero en el medio cambié de trabajo,Sí,7,4,Universitario,Completo,Analista de Sistemas,,No,0,Neto,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1800000,,,No,No recibo bono,Uno,8,Abril,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Project Manager,4,6,4,3,Google Cloud Platform,HTML,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% presencial,0,2 veces nos realizaron ajuste salarial,Sí,6,4,Universitario,Completo,Licenciatura en comunicación,UBA - Universidad de Buenos Aires,,,,38,femenino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1501094.82,1215903.67,,,No,No recibo bono,Tres,50,Abril,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,5,5,5,0,Docker,"HTML, Javascript, PHP, SQL, TypeScript","Angular, Laravel, Node.js, WordPress","Microsoft SQL Server, SQLite","Postman, SoapUI",De 2 a 10 personas,Híbrido (presencial y remoto),2,,No,8,3,,,,,,,,32,Masculino
Córdoba,Full-Time,Contractor,1300000,1300000,Cobro todo el salario en dólares,,No,No recibo bono,Uno,30,Febrero,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,2,2,2,0,"Docker, Google Cloud Platform","HTML, Javascript, Solidity, TypeScript","Next.js, Node.js, React.js, WordPress",MongoDB,"Jest, Mocha, Postman",De 11  a 50  personas,100% remoto,0,Pedí un aumento y me lo dieron.,Sí,7,0,Terciario,Completo,Técnico en sonido,,No,0,Neto,41,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),630000,500000,Mi sueldo está dolarizado (pero cobro en moneda local),oficial,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",HelpDesk,18,18,6,0,Windows Server,Java,Ninguno de los anteriores,ProxySQL,Ninguna de las anteriores,De 2001a 5000 personas,100% presencial,0,no,Sí,0,0,Terciario,Incompleto,Tecnicatura en Informática,UCES - Universidad de Ciencias Empresariales y Sociales,No,0,Porcentaje de mi sueldo bruto,40,femenino
Provincia de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),6500000,5000000,Cobro todo el salario en dólares,1000,No,No recibo bono,Más de tres,0,Febrero,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",4,"No, pero escucho ofertas.",Developer,18,1,10,0,"Amazon Web Services, Docker, Google Cloud Platform",Java,Spring,"Cassandra, MariaDB, MongoDB, MySQL, Oracle","Appium, Cucumber, Cypress",De 5001 a 10000 personas,100% remoto,0,no,No,7,5,,,,,,,,43,masculino
Mendoza,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000,1300000,,,No,No recibo bono,Uno,30,Abril,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Data Scientist,2,0,2,0,Google Cloud Platform,Python,TensorFlow,"Google Cloud Storage, MySQL",Visual Studio Coded UI,De 101 a 200 personas,100% remoto,0,,No,7,5,,,,,,,,41,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1500000,,,No,No recibo bono,Tres,35,Mayo,4,"Abono de celular, Capacitaciones y/o cursos",3,"Sí, estoy buscando activamente.",Project Manager,3,3,1,6,Docker,"HTML, Javascript, PHP","Bootstrap, React.js, Yii2",MariaDB,"Postman, Selenium",De 51 a 100 personas,Híbrido (presencial y remoto),3,No,Sí,5,4,,,,,,,,25,Masculino
Córdoba,Full-Time,Staff (planta permanente),1745857.3,1444966.23,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,60,Abril,4,"Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Developer,4,0,4,0,Docker,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap",Microsoft SQL Server,Postman,De 501 a 1000 personas,100% remoto,0,Sindicato del seguro,No,10,5,,,,,,,,26,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,900000,,,No,No recibo bono,Más de tres,40,Mayo,1,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",BI Analyst / Data Analyst,4,1,1,0,"Docker, Google Cloud Platform, Linux",SQL,WordPress,"Google Cloud Storage, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,,No sé,9,2,,,,,,,,30,Femenino
Córdoba,Full-Time,Staff (planta permanente),2143000,1969000,Mi sueldo está dolarizado (pero cobro en moneda local),878.62,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Clases de idiomas, Stock options / RSUs",2,"No, pero escucho ofertas.",Developer,8,8,8,0,Azure,"CSS, HTML, Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,"No, estamos esperando novedades desde marzo de este año y no obtuvimos respuesta",Sí,8,0,,,,,,,,32,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,1150000,,,De uno a tres sueldos,Performance individual,Dos,30,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Licencia por nacimiento extendida",4,"No, estoy muy conforme.",Developer,3,0,0,0,Linux,"C, C++",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),4,,No,9,0,,,,,,,,32,Masculino
Santa Fe,Full-Time,Staff (planta permanente),950000,800000,,,No,No recibo bono,Dos,35,Abril,2,"Abono de celular, Horarios flexibles",3,"No, pero escucho ofertas.",Manager / Director,20,15,15,0,"Google Cloud Platform, Linux, VMWare, Windows Server","SQL, VBA",Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, SQLite",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,Si,Sí,0,0,,,,,,,,46,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,945,950,Cobro todo el salario en dólares,Dólar MEP del Santander,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",UX Designer,3,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,"No, cobro fijo en dólares acordado por contrato de 1 año. En unos meses veré qué pasa.",Sí,8,4,,,,,,,,34,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1950000,1650000,,,No,No recibo bono,Tres,65,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",QA / Tester,6,4,4,0,Ninguna de las anteriores,Java,Ninguno de los anteriores,"Oracle, Teradata","Appium, Cucumber, JUnit, Postman, Selenium",De 501 a 1000 personas,100% remoto,0,,No sé,8,0,,,,,,,,52,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2068721,1750000,,,De uno a tres sueldos,Performance individual,Dos,30,Mayo,3,"Abono de celular, Capacitaciones y/o cursos",2,"No, pero escucho ofertas.",Manager / Director,8,8,8,5,"Azure, Google Cloud Platform, Windows Server","Bash/Shell, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 1001 a 2000 personas,100% presencial,0,,No,3,2,Terciario,Incompleto,Tecnicatura Superior en Análisis de Sistemas,,"Sí, pasiva",0,Bruto,28,Masculino
Formosa,Full-Time,Staff (planta permanente),4500000,3000000,,,Menos de un sueldo,Paritarias,Más de tres,64,Abril,4,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Finance,18,10,10,4,"Azure, Windows Server",".NET, HTML, SQL, Swift","Angular, React.js","Google Cloud Storage, Microsoft SQL Server",JUnit,De 501 a 1000 personas,100% presencial,0,si por acuerdo paritario,No,10,2,Universitario,Completo,Licenciatura en Sistemas de Información,,,,,45,Masculino
Chaco,Full-Time,Staff (planta permanente),950000,800000,,,No,No recibo bono,Dos,15,Abril,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",QA / Tester,5,2,2,2,"Amazon Web Services, *BSD, Windows Server","Python, SQL","Django, jQuery, Node.js","Microsoft SQL Server, MySQL, PostgreSQL","Katalon, Postman, Selenium, SoapUI, Visual Studio Coded UI",De 501 a 1000 personas,Híbrido (presencial y remoto),3,,Sí,7,4,,,,,,,,39,masculino
Córdoba,Full-Time,Staff (planta permanente),3500000,2700000,,,De uno a tres sueldos,Mix de las anteriores,Tres,38,Abril,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",Delivery Lead,15,2,2,5,"Amazon Web Services, Google Cloud Platform, Kubernetes, Serverless","Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Microsoft SQL Server","Cucumber, Postman, SoapUI",Más de 10000 personas,100% remoto,0,si,No,8,3,,,,,,,,42,Masculino
Salta,Full-Time,Staff (planta permanente),1055000,932000,,,No,No recibo bono,Uno,9,Marzo,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,6,8,6,2,"Azure, Google Cloud Platform","Python, R, SQL","Ninguno de los anteriores, ","Microsoft SQL Server, MySQL","Postman, Visual Studio Coded UI",De 51 a 100 personas,100% presencial,5,incremento del 9%,No sé,0,3,,,,,,,,41,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,1725,1725,Cobro todo el salario en dólares,1040,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Developer,3,3,3,2,"Amazon Web Services, Docker, Linux","Javascript, Ruby, TypeScript","Next.js, Rails, React.js","Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL, Redis",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),0,no,No,9,5,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,No,0,Bruto,24,Masculino
Provincia de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4200000,3200000,Cobro parte del salario en dólares,838,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias), Fondo mensual acumulable para compras varias",4,"No, pero escucho ofertas.",Developer,16,4,8,0,"Azure, Docker, Kubernetes, Linux, OpenShift",Go,Ninguno de los anteriores,"ElasticSearch, MongoDB, PostgreSQL, Redis",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,No,9,0,,,,,,,,37,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),680000,570000,,,No,No recibo bono,Dos,100,Abril,3,"Clases de idiomas, Comidas pagas / subvencionadas",2,"No, pero escucho ofertas.",Developer,2,1,2,0,"Amazon Web Services, Linux","CSS, HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Hibernate, jQuery, Node.js, Spring",Microsoft SQL Server,"JUnit, Postman",De 11  a 50  personas,100% remoto,0,"Si, siguen la inflación",No,9,3,,,,,,,,37,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,504000,490500,Mi sueldo está dolarizado (pero cobro en moneda local),1070,No,No recibo bono,No,0,No tuve,3,"Clases de idiomas, Horarios flexibles",2,"No, estoy muy conforme.",Developer,0,0,0,0,Docker,"CSS, HTML, Java, Javascript, SQL, TypeScript","Hibernate, React.js, Spring",MySQL,Postman,De 51 a 100 personas,100% remoto,0,,No,5,4,Universitario,En curso,Licenciatura en psicologia,UBA - Universidad de Buenos Aires,No,0,Neto,28,Masculino
Salta,Full-Time,Staff (planta permanente),1400000,1200000,,,No,No recibo bono,Uno,60,Marzo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,20,2,2,0,"Amazon Web Services, Docker","Go, Ruby, SQL, TypeScript","Next.js, Node.js, Rails, React.js",PostgreSQL,RSpec,De 11  a 50  personas,100% remoto,0,"Si, cada 3 meses se ajusta por inflacion",No sé,10,4,,,,,,,,46,Masculino
Santa Fe,Full-Time,Contractor,5019000,4500000,Cobro todo el salario en dólares,,No,No recibo bono,Uno,5,Mayo,4,"Abono de Internet, Horarios flexibles",4,"No, pero escucho ofertas.",Technical Leader,2,3,2,7,"Amazon Web Services, Docker, Linux, Serverless","Python, SQL, TypeScript","Next.js, Node.js, React.js","MongoDB, PostgreSQL, Redis","Jest, Mocha, Postman, playwright",De 101 a 200 personas,100% remoto,0,acorde a un poco de inflacion en usd en eeuu y algo mas porq argentina se hizo mas caro en usd,No,7,2,,,,,,,,37,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2000000,1500000,,,No,No recibo bono,Más de tres,50,Mayo,3,Capacitaciones y/o cursos,3,"No, estoy muy conforme.",SysAdmin,25,6,6,0,"Amazon Web Services, Azure, Docker, Linux, VMWare, Windows Server",Python,WordPress,"MariaDB, MySQL, PostgreSQL, SQLite",ninguna,De 201 a 500 personas,Híbrido (presencial y remoto),0,Si,No,10,3,Terciario,Completo,Analista de Computación,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,40,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1400000,Mi sueldo está dolarizado (pero cobro en moneda local),1024,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Comidas pagas / subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",HelpDesk,4,2,4,0,Ninguna de las anteriores,"Javascript, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),2,No,No,7,2,,,,,,,,37,Masculino
Corrientes,Part-Time,Freelance,1600000,1600000,,,No,No recibo bono,No,0,No tuve,2,Clases de idiomas,2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,5,3,3,0,"Google Cloud Platform, VMWare, Windows Server","HTML, SQL",Ninguno de los anteriores,MySQL,Silktest,De 11  a 50  personas,100% remoto,0,,No sé,5,0,,,,,,,,38,femenino
Entre Ríos,Full-Time,Contractor,800000,900000,,,No,No recibo bono,Dos,30,Marzo,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,2,2,0,0,Azure,"Python, SQL",Spark,Microsoft SQL Server,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,Si,No sé,0,5,,,,,,,,44,Masculino
San Juan,Full-Time,Staff (planta permanente),560000,560000,,,Menos de un sueldo,horas extras,Dos,25,Marzo,2,"Horarios flexibles, Viáticos",2,"Sí, estoy buscando activamente.",HelpDesk,7,3,2,10,"Google Cloud Platform, Microcontroladores, VMWare, Windows Server, microtik dell active directory",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,se rigen con el sindicato de la uom,Sí,5,3,,,,,,,,29,masculino
